,D1i_Y_P_A_f,D1i_Y_P_L_f,D1i_Y_P_N_f,D1i_Y_P_P_f,D2i_O_P_A_f,D2i_O_P_L_f,D2i_O_P_N_f,D2i_O_P_P_f,D3i_O_P_A_f,D3i_O_P_L_f,D3i_O_P_N_f,D3i_O_P_P_f,D4i_Y_P_A_f,D4i_Y_P_L_f,D4i_Y_P_N_f,D4i_Y_P_P_f
RER1,3539,1809,2329,1837,5830,6810,2625,4485,7928,7114,4752,6685,7586,7677,7953,6327
PEX10,993,496,699,447,1457,1945,820,1038,2076,2258,1467,1728,2214,2258,2516,1730
PLCH2,409,372,579,230,554,2931,1571,1362,494,1705,983,561,802,1550,2068,1120
PANK4,1310,761,959,583,2001,2966,1136,1712,2644,2684,1996,2670,2625,3043,2951,2552
HES5,22,4,2,16,30,8,4,8,10,25,10,14,10,17,2,3
TNFRSF14-AS1,1141,599,698,547,1694,3296,1076,1973,1939,2649,1768,1940,2487,2532,2967,2294
TNFRSF14,6965,3599,4233,3911,8762,18723,4413,11539,14393,17822,11061,17210,16100,18165,18180,17474
PRXL2B,1043,379,659,240,1702,2070,754,766,2205,2111,1468,957,2185,1525,1774,985
MMEL1,135,79,57,37,269,283,118,124,378,278,247,162,330,204,281,184
MMEL1-AS1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4
TTC34,29,22,32,24,22,79,26,64,38,100,44,18,87,205,188,98
ACTRT2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRDM16-DT,8,0,0,2,2,4,0,16,6,5,0,2,18,2,4,20
PRDM16,10,32,6,37,10,18,2,8,26,41,27,33,30,35,30,113
ARHGEF16,4,10,4,4,0,4,0,0,4,8,10,6,4,3,14,2
MEGF6,519,796,1491,527,863,3799,2714,2480,1570,5492,3573,2750,1673,3428,5273,3535
TPRG1L,1111,1053,1421,950,1529,4740,1799,2319,2807,4368,3684,4066,2856,4995,5459,4343
WRAP73,1322,659,838,616,2413,2869,1015,2105,2939,2913,1740,2417,2861,2722,2639,2204
TP73,26,9,38,5,12,64,22,34,38,86,47,45,67,89,89,53
TP73-AS3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2
TP73-AS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCDC27,57,36,40,51,72,141,54,118,129,171,75,119,146,119,153,143
SMIM1,24,5,6,10,46,48,14,40,46,56,90,101,54,50,20,55
LRRC47,1973,942,1131,806,3216,3863,1314,2414,4454,3774,2064,4021,4474,4190,3950,3535
CEP104,2035,885,1044,724,2898,3438,1309,2072,4081,3757,1505,2574,4038,3721,3175,3085
DFFB,457,167,310,138,755,961,354,502,722,921,520,742,886,808,784,670
C1orf174,1815,711,749,628,2238,2820,937,1899,2508,2169,1525,2007,2892,2673,2603,2465
LINC01134,11,10,10,10,10,3,6,4,10,28,6,14,26,11,27,17
LINC01346,4,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
LINC01345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC02780,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0
LINC01777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
LINC01646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJAP1,56,32,30,22,28,28,32,44,2,8,38,4,12,14,30,8
LINC02781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC02782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NPHP4,341,325,332,205,641,1028,289,479,1076,1162,657,614,1164,1273,1204,888
KCNAB2,9040,3301,7170,2899,14053,15457,7820,7860,18788,13964,9253,8704,20612,16198,24737,13275
CHD5,524,258,214,382,244,71,210,188,73,161,133,82,96,103,122,101
RPL22,6036,2124,2856,2019,9603,12207,4013,4239,11605,10088,7884,7923,13510,11445,11017,8350
RNF207-AS1,0,1,0,0,3,2,0,2,0,0,2,0,1,0,2,0
RNF207,121,29,42,18,299,104,41,61,480,306,127,135,269,124,112,59
ICMT,2092,572,881,560,4025,2620,1038,1148,4728,2294,1256,1900,5190,2772,2671,2153
ICMT-DT,115,14,35,19,125,69,29,41,193,80,38,99,185,106,87,97
HES3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPR153,176,301,276,188,153,675,221,356,239,509,366,372,271,628,551,365
ACOT7,2214,492,264,409,3849,576,300,402,4070,955,480,967,5772,1234,713,737
HES2,2,0,0,0,0,1,0,0,3,0,0,0,2,0,0,4
ESPN,483,361,522,182,569,1235,471,600,904,1624,1255,667,800,1191,1201,736
TNFRSF25,5277,3452,3671,1740,6724,12870,3903,6152,10864,15405,10476,6777,10087,13172,11637,7463
PLEKHG5,364,193,293,123,475,830,451,507,652,863,551,405,529,544,485,339
NOL9,1275,375,439,335,2010,1465,659,799,2506,2076,928,1453,2538,2055,1638,1426
TAS1R1,0,0,1,2,0,1,0,0,1,8,2,0,0,2,2,5
ZBTB48,800,615,655,443,1066,2654,879,1364,1592,2403,1597,1661,1895,2629,3014,1859
KLHL21,2957,1852,1505,1265,3804,6752,1645,3137,5979,5617,3048,6262,5249,6787,5288,5580
PHF13,707,379,459,346,1197,1463,392,760,1621,1407,823,1242,1607,1432,1295,1330
THAP3,1504,579,598,538,2434,2277,801,1389,3494,2600,1728,2592,3279,2428,2319,2373
DNAJC11,2938,845,842,620,5046,2896,1086,1768,6637,3624,1944,3030,6066,3590,3398,2738
LINC01672,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0
CAMTA1-DT,9,0,0,0,4,11,3,17,8,3,3,5,5,24,10,10
CAMTA1,997,607,511,664,1052,768,480,759,1059,884,1007,1086,967,1142,1130,1126
CAMTA1-IT1,0,0,0,0,1,0,0,0,0,0,0,2,0,3,0,0
CAMTA1-AS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAMTA1-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAMP3,972,579,962,858,1170,1611,1011,1450,2365,1918,1608,2793,2049,2434,3694,4034
PER3,414,205,324,182,513,689,373,407,613,614,289,530,708,619,673,597
UTS2,54,28,21,34,73,76,38,66,77,71,52,74,90,94,90,74
TNFRSF9,4409,415,68,212,8619,1221,88,414,7351,1647,549,2206,6181,1804,719,714
PARK7,4350,1094,1598,1145,6820,4077,1605,1774,7977,3914,3556,4170,9177,5518,5609,3741
ERRFI1,223,110,106,199,216,149,81,74,211,196,122,108,310,311,300,653
ERRFI1-DT,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0
LINC01714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC45A1,54,33,52,12,43,70,30,33,38,70,81,40,30,39,42,30
RERE,4052,1728,2475,2288,5165,7875,3065,9116,9122,12422,3848,12419,9595,8470,9515,15482
RERE-AS1,10,5,6,11,11,66,39,103,50,75,23,95,38,39,33,70
ENO1,82860,13815,14302,11371,132092,38312,13121,21030,193910,59878,33055,69094,185393,77614,61782,48893
ENO1-AS1,10,13,1,6,23,10,4,8,18,21,6,17,23,17,7,16
CA6,17,15,10,6,34,117,18,32,103,359,247,62,111,116,69,87
SLC2A7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SLC2A5,24,52,54,4,31,94,44,58,52,84,123,37,208,304,425,177
GPR157,803,745,525,351,371,616,286,327,1595,2128,1915,2162,2165,2955,2440,1611
MIR34AHG,62,47,138,70,52,96,30,205,87,154,105,179,110,159,481,315
LNCTAM34A,0,2,17,24,7,4,4,20,7,27,11,27,6,19,36,30
H6PD,2225,1422,2162,1228,2964,4121,2497,3048,5622,5990,3803,5441,3797,5228,6083,4621
SPSB1,944,484,316,522,856,622,130,670,2612,1252,768,2247,2446,2381,1637,3719
LINC02606,0,0,0,2,8,4,0,0,0,4,1,0,0,2,4,1
SLC25A33,608,99,124,70,926,346,129,187,1203,325,337,400,1080,585,458,372
TMEM201,1212,255,262,126,1924,654,245,385,2631,901,391,566,2604,921,798,687
PIK3CD,9758,5505,5448,3481,16524,28385,8484,13967,20956,28875,13561,18412,19786,23856,18694,15610
PIK3CD-AS1,10,12,8,4,28,38,22,26,20,47,31,45,32,59,55,39
PIK3CD-AS2,24,6,14,6,20,34,4,10,29,35,26,12,46,29,36,49
CLSTN1,4677,3122,3482,2832,7126,11626,4393,8729,9730,14342,6485,14279,9367,12157,10365,10783
CTNNBIP1,360,132,473,104,394,583,605,335,797,602,606,602,649,692,1588,572
LZIC,1000,427,655,337,1596,1495,759,826,1718,1625,1009,1586,1965,1702,1963,1469
NMNAT1,211,104,240,115,363,379,211,232,525,430,309,448,517,519,689,432
RBP7,4,0,36,0,2,0,174,4,4,0,12,0,4,0,172,4
UBE4B,2159,1001,1616,888,3604,4188,1902,2097,4429,4324,2591,2540,4164,4997,5457,3264
KIF1B,2153,1204,1489,1270,2133,1956,1494,1622,3397,2714,1981,2437,3110,2555,3708,3974
PGD,8713,3878,6513,6553,9863,7241,4552,7797,23249,14107,17381,22350,21755,17384,28593,34476
CENPS,205,76,57,35,423,237,52,114,437,147,162,147,462,299,231,135
CORT,6,10,6,7,31,18,12,13,35,16,34,7,42,12,23,14
DFFA,1979,615,709,541,3729,2652,1015,1344,3994,2761,1496,2344,4090,3142,2592,2022
PEX14,993,407,457,491,1607,1902,530,1101,2645,1822,1103,2356,2574,2308,1983,2128
CASZ1,1279,781,446,544,1825,2782,456,1843,3437,3939,1100,3152,2779,4293,2452,3329
C1orf127,0,0,4,0,0,4,18,0,0,6,4,0,0,0,15,4
TARDBP,5769,2299,2570,1831,9033,8360,3059,5051,11231,8344,4208,6371,11856,9943,8464,7215
MASP2,80,111,121,51,90,312,190,271,182,536,181,259,178,345,411,256
SRM,9348,707,885,793,16106,2918,815,2107,18443,4255,1938,3908,21083,4958,3222,3457
EXOSC10,4029,1762,1890,1668,6196,6519,1979,4127,8285,7097,3065,5927,9115,7526,6719,6997
EXOSC10-AS1,235,77,116,103,309,354,108,255,422,325,149,287,388,331,257,296
MTOR,4769,2290,2362,1715,6887,7105,2762,4505,9868,8692,3428,6246,9011,7866,6661,6653
MTOR-AS1,50,17,30,9,95,96,55,65,139,119,66,89,132,119,79,96
ANGPTL7,0,0,0,0,0,0,4,0,1,0,0,5,1,12,1,0
UBIAD1,1549,481,513,496,2519,1984,715,1282,3485,2290,1271,2084,3553,2399,2029,1931
DISP3,89,46,45,68,64,27,36,34,31,51,52,40,53,28,48,19
LINC01647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
FBXO2,174,80,58,98,417,318,126,205,594,553,318,444,305,182,142,164
FBXO44,1062,845,688,690,1682,3253,947,2019,2721,4122,2243,2693,2243,2573,1987,2055
FBXO6,2212,805,266,1666,3080,2027,154,3102,6133,2855,1362,8959,5260,2946,1613,7350
MAD2L2,1261,579,418,390,2315,1270,446,692,3095,1652,1503,2164,2657,1869,1523,1234
DRAXIN,139,62,86,32,550,261,116,129,570,166,76,134,121,168,144,143
AGTRAP,513,281,507,663,585,738,372,626,1204,786,1809,1717,1025,1042,1815,1559
C1orf167,227,126,237,107,382,677,410,437,665,968,473,739,489,698,953,642
C1orf167-AS1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0
MTHFR,1594,866,1451,766,2250,3811,2195,2419,4149,5083,2354,4127,3016,4190,4924,3496
CLCN6,1146,818,1023,648,1332,2673,1060,1660,2243,3149,1478,2224,2097,3017,3480,2757
NPPA,34,19,22,12,19,25,25,40,68,133,58,84,73,114,141,83
NPPB,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
KIAA2013,1659,864,1254,1101,2830,3637,1601,2695,4055,3680,2647,4540,3712,3743,4604,4570
PLOD1,527,243,904,280,1176,700,1352,474,1435,812,849,748,1579,829,4038,1403
MFN2,4865,1491,2070,1707,8033,6720,2179,3360,11309,6166,3225,5971,10812,7704,7491,6479
MIIP,1334,506,666,592,2197,2457,751,1624,3957,2505,1995,2498,3237,2617,2731,3290
TNFRSF8,1125,142,72,90,3070,170,56,86,11109,763,334,734,1741,713,567,192
TNFRSF1B,10366,15755,7363,8692,16722,22916,7444,10786,31895,39528,25888,27852,22066,62153,63593,38692
VPS13D,3658,1957,2883,1732,4763,7414,3354,3943,7189,11050,3986,6423,6453,7633,6789,7038
LINC02766,1,0,0,0,0,1,8,0,0,1,0,3,1,0,0,2
DHRS3,716,372,648,368,1031,3319,726,1200,1131,2001,1525,1260,2343,2167,2464,1698
AADACL4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
CFAP107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC01784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HNRNPCL1,9,15,5,16,14,9,1,12,4,3,1,7,3,3,3,0
PRAMEF2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF4,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0
PRAMEF10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HNRNPCL3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
PRAMEF25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HNRNPCL2,4,2,5,0,8,5,1,5,1,2,1,4,0,2,4,0
PRAMEF26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HNRNPCL4,3,1,1,0,3,1,0,2,2,1,0,0,0,1,0,0
PRAMEF9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF17,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
PRAMEF20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRRC38,0,45,2,0,0,28,0,0,40,53,66,8,4,124,156,2
PDPN,26,144,76,14,8,39,16,18,267,110,978,95,0,102,414,88
PRDM2,3533,2472,2454,1997,5282,11353,3334,6296,7091,10399,3965,8079,6734,10475,9461,9633
KAZN,176,68,86,120,47,42,63,62,38,32,85,56,39,42,135,42
KAZN-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMEM51-AS1,18,4,95,55,13,6,67,33,40,9,101,45,29,16,266,203
TMEM51,224,52,937,567,206,50,868,546,770,260,1307,1147,620,314,4021,3865
TMEM51-AS2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
FHAD1,30,19,126,10,79,93,116,122,84,69,101,60,52,32,396,186
FHAD1-AS1,10,2,14,4,8,20,29,13,16,19,35,4,6,8,75,30
EFHD2-AS1,17,16,18,9,7,54,61,35,11,42,24,20,14,40,44,26
EFHD2,8393,4030,6505,3992,11938,18267,9293,11677,17299,15382,15070,17971,15139,12410,21001,16563
CTRC,0,1,21,4,12,44,38,36,9,44,15,9,9,22,37,19
CELA2A,0,0,0,0,0,0,0,2,2,8,0,0,3,8,1,2
CELA2B,4,3,13,1,8,5,3,3,15,20,8,4,4,5,7,19
CASP9,376,276,302,298,483,1073,336,511,796,945,670,933,810,1024,1126,1013
DNAJC16,976,511,520,347,1675,1865,692,1035,2098,2056,1088,1458,2047,2121,1798,1695
AGMAT,545,100,119,62,1166,268,106,130,1244,347,285,331,1501,452,381,400
DDI2,4317,2262,2668,1680,6531,7268,2386,3607,8332,7997,3111,4799,7682,9110,6908,7402
RSC1A1,1199,545,643,452,1714,1849,546,893,2250,1996,731,1262,2219,2362,1802,2048
PLEKHM2,5134,2757,4570,4757,6160,8839,3440,7822,12355,9303,6367,13926,11362,11947,17500,26314
SLC25A34,107,75,106,114,86,138,51,209,200,218,121,253,230,374,519,641
SLC25A34-AS1,11,7,6,3,0,2,6,12,7,8,6,18,20,20,30,63
TMEM82,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
FBLIM1,28,22,30,8,8,1,30,25,2,8,4,2,0,11,48,5
UQCRHL,48,16,30,42,57,31,33,42,82,44,61,31,62,39,61,27
SPEN-AS1,194,100,152,69,274,321,235,202,273,316,261,200,306,385,419,326
SPEN,11058,3775,5403,2547,14833,14595,6237,7321,20302,20635,7373,9602,19552,19258,18833,16768
ZBTB17,2058,1995,1127,1143,2810,4676,1125,2844,4999,5535,2785,5228,4418,7029,5724,4797
SRARP,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
HSPB7,6,0,2,2,3,0,0,0,0,0,0,4,2,0,3,8
CLCNKA,0,0,0,0,0,0,0,0,4,0,0,0,4,0,1,0
CLCNKB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
FAM131C,0,0,4,2,6,4,10,0,8,0,58,2,27,6,62,10
EPHA2,42,74,20,64,21,90,22,62,55,212,56,532,52,156,50,146
EPHA2-AS1,0,0,0,0,0,0,0,0,0,2,0,3,0,0,6,0
ARHGEF19-AS1,74,21,17,26,65,52,12,70,76,60,43,59,93,61,65,69
ARHGEF19,521,173,183,228,672,744,151,648,676,610,351,656,1032,673,486,686
CPLANE2,109,70,95,54,144,300,101,187,235,261,164,296,227,286,214,223
FBXO42,944,612,756,609,1589,2210,863,1327,2284,2222,1517,2246,2075,2795,2628,2262
SZRD1,9395,3480,3148,3506,14471,12792,3505,7750,21588,13150,7608,17918,20806,17441,13689,14500
SPATA21,2176,870,729,849,3537,2819,831,1843,5156,3124,1719,4140,4974,4375,3138,3455
NECAP2,2950,1676,1949,2542,4816,6300,2359,4594,8708,7668,4768,11115,7895,8671,9027,13314
LINC01772,20,25,36,30,54,193,84,102,111,293,116,194,75,131,125,151
LINC01783,0,0,0,0,0,7,0,0,0,0,4,10,1,4,2,0
NBPF1,94,39,97,46,375,993,374,468,207,398,201,283,252,378,405,264
CROCC,1400,1106,1301,691,2472,7044,2468,4148,2611,5977,2519,2819,4286,5170,5833,4507
MFAP2,42,23,22,28,12,5,10,12,4,4,4,7,0,6,6,10
ATP13A2,2225,983,1199,2353,3031,3673,1301,5781,6250,4124,2049,5051,4069,3817,3981,12333
SDHB,3007,760,953,1488,4235,2572,1000,2414,5621,2463,1919,3458,5258,3357,3581,6874
PADI2,70,132,78,38,22,102,52,18,10,47,30,14,20,177,186,14
LINC02783,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0
PADI1,0,0,0,0,0,0,4,0,4,0,2,0,0,0,0,0
PADI3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
PADI4,30,16,16,20,38,45,21,39,30,44,66,36,50,45,48,24
PADI6,12,0,0,10,0,3,10,18,0,0,6,7,0,0,0,1
RCC2-AS1,503,174,177,101,856,639,227,372,798,540,368,556,834,595,638,601
RCC2,6249,2031,2442,1706,11058,7930,2802,5243,13137,8053,4225,8157,14044,9233,8731,8390
ARHGEF10L,659,861,1137,1954,494,350,885,2865,3387,1391,1805,5958,2007,1311,5022,12457
LINC02810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTL8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC01654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGSF21,78,52,36,32,42,4,26,38,4,26,44,20,6,2,12,6
IGSF21-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KLHDC7A,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
PAX7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAS1R2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
ALDH4A1,205,115,117,85,283,265,139,82,446,395,291,271,380,435,485,316
IFFO2,2281,866,970,438,3536,4173,1592,1634,3803,3108,1680,2158,3049,3402,2941,2025
UBR4,16138,8317,9066,7234,16990,21243,7807,13856,35041,45054,13796,32695,25955,30676,19371,30555
EMC1-AS1,134,39,49,67,180,146,68,71,267,184,90,154,339,207,214,156
EMC1,2592,792,987,804,2932,2030,933,1252,5921,3107,1711,2824,5672,3314,3345,2798
MRTO4,4564,371,355,494,7863,1721,518,947,9340,2126,1226,2396,8789,2814,1722,1882
AKR7A3,19,27,10,10,6,18,4,10,24,22,16,17,13,16,23,14
AKR7A2,576,223,478,262,774,1130,482,495,918,1055,1210,979,1318,1058,1565,906
SLC66A1,305,210,376,242,366,571,284,418,649,568,662,846,672,679,1233,990
CAPZB,7261,3083,5666,3288,12097,11670,7538,6885,16694,11120,9349,11567,17160,14787,25171,18776
MICOS10,1316,351,595,415,1723,1131,471,806,1943,1064,929,1331,2046,1259,1488,1147
MICOS10-DT,0,0,0,0,0,0,0,0,0,0,2,0,6,4,2,2
NBL1,1284,392,529,370,1150,754,347,433,1476,802,767,1100,1832,1433,1697,1292
HTR6,20,2,4,15,36,6,16,30,34,33,9,8,25,20,18,3
TMCO4,659,363,359,410,935,1654,502,1136,1557,1816,852,2234,1493,1634,1387,1799
RNF186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNF186-AS1,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0
OTUD3,469,293,352,221,653,1016,368,599,957,1210,536,527,691,1110,897,657
PLA2G2E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLA2G2A,0,0,0,0,8,0,0,0,0,4,0,0,0,0,0,0
PLA2G5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLA2G2D,4,0,4,0,0,2,2,4,3,2,0,4,8,10,14,20
PLA2G2F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLA2G2C,2,0,0,0,0,0,0,8,2,4,6,4,2,0,0,0
UBXN10,2,6,22,10,52,20,20,9,37,16,14,23,22,14,10,0
LINC01757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VWA5B1,0,0,0,7,0,5,1,3,9,24,3,31,2,3,5,12
LINC01141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
CAMK2N1,1713,1385,943,1303,1071,956,1214,993,419,1362,1179,764,399,899,1025,665
MUL1,885,467,616,503,1338,1488,553,942,2165,1468,1068,2044,2134,2227,2127,2243
FAM43B,38,44,24,16,30,0,24,26,0,4,6,6,0,2,4,2
CDA,42,26,42,20,14,10,34,10,18,11,182,8,86,17,98,42
PINK1,839,809,1240,701,933,2511,1275,1235,1393,2657,2230,1873,1517,2891,3626,2540
PINK1-AS,1181,769,1132,621,2147,2335,1204,1260,2700,2588,2057,1996,2580,2857,3636,2351
DDOST,6891,2254,3471,2191,12078,7522,4099,4820,15783,8038,6712,9374,14455,10721,13363,9504
KIF17,18,2,3,10,0,2,4,2,16,4,0,22,4,5,4,10
SH2D5,54,12,4,14,70,30,20,19,77,6,16,25,118,54,20,27
HP1BP3,5747,3472,4218,2834,8490,15896,6189,8667,9771,15589,7434,10899,10365,13800,13276,10043
EIF4G3,3154,1194,1483,992,4967,3874,1941,2192,4939,3974,1834,2226,5029,3858,4417,2994
ECE1,8006,3082,1198,3672,10810,9091,1691,11952,20104,14106,3972,20858,18570,15183,6428,15913
ECE1-AS1,44,20,26,31,51,43,53,38,71,93,70,108,114,173,148,125
NBPF3,158,108,195,100,226,522,228,200,404,706,361,290,334,616,542,310
ALPL,6,28,18,16,14,128,31,44,16,140,51,26,26,177,62,39
LINC02596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAP1GAP,328,190,144,166,184,31,154,183,78,80,134,76,66,46,58,27
USP48,1679,991,1343,804,2756,3937,1583,2086,3544,3990,1783,2616,3717,4035,4042,3422
LDLRAD2,24,34,40,32,45,23,48,22,34,99,84,46,40,54,98,73
HSPG2,418,266,228,280,242,124,270,197,182,717,434,313,160,287,500,410
CELA3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CELA3A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC01635,0,2,0,6,5,13,4,15,16,12,10,12,11,21,30,9
LINC00339,142,91,177,86,303,483,221,362,325,379,366,366,383,425,617,359
CDC42,8003,3323,4491,3655,12723,10110,5001,5733,18309,9979,9725,12217,18483,15137,16420,16236
CDC42-AS1,112,67,114,49,255,343,174,239,257,239,300,299,308,290,469,262
CDC42-IT1,0,0,2,0,0,1,4,2,0,5,14,6,0,0,0,0
WNT4,2,28,19,27,24,27,26,24,14,38,28,63,10,32,24,34
ZBTB40,3396,2338,2896,1748,4391,8870,3315,5485,6218,10927,4651,5597,6595,10432,8994,7271
ZBTB40-IT1,3,0,10,2,3,20,22,18,14,41,15,13,18,24,24,7
EPHA8,2,6,2,4,16,8,2,6,0,1,5,2,4,7,8,1
C1QA,68,2,112,14,94,0,311,119,752,0,404,779,83,0,335,90
C1QC,234,2,336,70,168,2,632,314,1915,26,374,1916,258,2,2168,370
C1QB,264,4,74,54,268,8,194,321,2113,63,540,2658,350,14,666,152
EPHB2,244,118,2245,1237,138,36,2003,1212,188,58,79,1455,458,24,8732,7950
LACTBL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEX46,2,0,0,0,0,4,2,0,0,0,0,2,2,2,0,1
KDM1A,3031,1313,1395,950,4871,4461,1714,1938,5841,4906,2628,3094,5874,5155,4484,3458
LUZP1,2181,1491,1333,911,3153,4475,1312,2161,6102,5232,1945,3867,3709,4976,3613,3208
HTR1D,6,2,2,0,10,1,0,0,0,0,0,0,0,0,2,0
LINC01355,50,36,76,38,77,101,54,70,101,289,100,112,68,117,99,120
HNRNPR,9504,2313,2744,2180,16409,9585,3422,5019,18240,9392,4500,8379,18461,10936,9419,9876
ZNF436,333,287,310,190,484,944,324,560,677,1002,519,799,1013,1397,1134,1083
ZNF436-AS1,28,40,28,14,39,106,43,68,28,65,52,50,65,147,184,89
TCEA3,66,24,98,34,54,172,127,104,88,409,344,261,180,201,369,189
ASAP3,20,32,20,22,32,43,30,35,62,58,24,50,90,47,104,96
E2F2,76,18,25,30,320,20,28,44,204,34,16,77,716,82,80,76
ID3,656,466,705,573,762,2060,1262,1162,934,1630,1856,1469,2402,2727,3800,2827
MDS2,21,14,31,18,13,76,84,104,21,85,76,96,26,51,93,61
RPL11,29726,13632,15733,13535,41458,58421,19841,28717,51152,54311,56439,54378,51357,50584,53269,40083
ELOA-AS1,228,112,159,88,334,609,210,246,545,581,354,419,565,538,606,555
ELOA,3173,1158,1084,913,5260,3637,1217,2294,6913,4370,2460,4501,6673,5243,4382,4616
PITHD1,2096,780,1204,963,3841,3646,1184,1982,4298,2633,1814,2712,4496,3762,4900,5131
LYPLA2,3407,1152,1258,1038,5522,3801,1524,2488,7677,4628,2695,4956,7277,5371,5386,4933
GALE,645,150,242,142,1533,742,251,344,2193,785,594,609,2209,1046,1052,606
HMGCL,424,275,434,409,698,1157,483,775,984,1150,781,1544,1286,1275,1522,1870
FUCA1,339,222,15676,6004,533,894,13016,1832,788,714,1279,1262,919,954,99493,38801
