,D1i_Y_P_A_f,D1i_Y_P_L_f,D1i_Y_P_N_f,D1i_Y_P_P_f,D2i_O_P_A_f,D2i_O_P_L_f,D2i_O_P_N_f,D2i_O_P_P_f,D3i_O_P_A_f,D3i_O_P_L_f,D3i_O_P_N_f,D3i_O_P_P_f,D4i_Y_P_A_f,D4i_Y_P_L_f,D4i_Y_P_N_f,D4i_Y_P_P_f
LINC02655,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
NRG3,64,34,34,20,20,4,34,24,6,8,6,0,4,0,4,2
NRG3-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC02650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GHITM,6265,2290,2570,2151,10752,6960,2590,3798,13753,6804,5080,8424,12395,9197,8908,7975
CERNA2,0,0,0,0,1,3,0,6,1,2,0,3,3,4,3,7
C10orf99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDHR1,107,54,86,34,60,110,111,87,81,133,78,62,54,61,194,80
LRIT2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RGR,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
LRIT1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
LINC00858,0,6,0,0,2,11,4,10,0,0,3,12,0,0,0,2
CCSER2,4263,3206,3115,3200,4580,8583,2028,3997,6831,6325,2284,6892,7600,11081,7947,10015
LINC01519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC02647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC01520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRID1-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRID1,150,128,74,160,154,8,66,84,10,30,52,22,20,10,14,20
WAPL,4030,2088,1928,1684,6093,6320,2704,3660,8025,6498,2966,5773,7619,7507,6298,7220
WAPL-DT,12,10,21,2,30,47,20,42,18,28,52,22,24,28,32,32
OPN4,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
LDB3,0,8,2,2,0,5,7,4,4,4,2,2,6,13,22,3
BMPR1A,226,127,158,142,324,486,214,382,392,467,193,454,378,430,384,347
MMRN2,18,4,17,6,10,44,36,62,21,35,36,59,34,30,93,108
SNCG,6,0,4,2,10,2,2,2,0,6,0,0,4,2,2,0
ADIRF-AS1,62,89,153,235,84,274,274,540,167,495,211,872,184,305,654,1205
ADIRF,7,30,26,139,7,52,51,133,32,112,58,582,21,106,119,395
FAM25A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLUD1,3898,1485,2164,2586,6322,5484,2860,3531,8761,4536,3585,5645,7531,5604,7271,9676
SHLD2,1961,656,958,1042,3117,2686,1252,1603,4227,2178,1496,2708,3943,2592,3093,3729
NUTM2A-AS1,703,244,345,236,1064,1146,479,742,1399,1490,756,1187,1063,1094,1009,1034
NUTM2A,5,8,21,14,43,40,13,22,30,65,18,21,28,19,31,36
LINC00863,84,56,95,57,167,237,159,125,193,281,163,293,259,272,239,228
NUTM2D,22,4,19,20,48,83,38,56,80,141,64,99,69,109,74,173
FAM245A,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
MINPP1,425,128,258,202,610,443,216,303,946,790,617,676,862,685,635,600
PAPSS2,56,434,219,76,34,271,152,76,280,722,396,353,90,1365,1623,335
ATAD1,1658,737,717,707,2731,2605,829,1272,3443,2239,1171,2285,3536,3267,2238,2461
KLLN,20,24,4,10,29,72,40,25,26,59,24,35,25,38,53,32
PTEN,1856,1634,1655,1403,2581,5035,2384,2738,3641,5256,2756,4682,3648,6246,5632,4810
RNLS,150,44,30,34,163,140,64,72,197,115,59,120,233,163,157,77
LIPJ,0,12,2,2,0,2,0,1,8,0,0,6,4,4,3,8
LIPF,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
LIPK,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0
LIPN,0,0,9,4,6,2,4,0,8,6,13,2,4,21,36,3
LIPM,60,12,0,8,33,7,3,46,242,23,26,229,118,9,29,78
ANKRD22,2019,326,68,682,1806,212,68,1646,8102,603,621,9145,5076,460,620,3540
STAMBPL1,1225,337,324,372,1817,1541,487,871,2981,1651,764,1853,2532,1763,1036,1391
ACTA2-AS1,266,140,186,129,322,257,145,266,386,369,257,621,325,274,226,299
ACTA2,821,395,407,504,990,816,392,883,1179,1036,677,1938,1062,814,670,991
FAS,2847,992,452,1214,4212,2676,369,2318,6944,3504,1149,7542,5925,4397,1727,3982
CH25H,60,5,0,0,22,0,2,46,34,8,44,50,40,20,6,70
LIPA,3391,669,13147,1860,5011,3167,7100,2956,3235,2938,2254,3439,7793,3186,31250,8118
IFIT2,10076,4177,965,41684,5251,7562,400,57928,14848,9663,1221,78588,23905,13539,6983,201975
IFIT3,25343,10657,1379,42810,22496,23003,365,79376,47909,29331,2977,138625,67837,35174,12155,196344
IFIT1B,16,12,0,15,3,6,6,37,21,21,6,25,10,14,9,27
IFIT1,8349,5240,527,39062,4917,10005,251,46604,10819,13166,1658,62508,19664,13402,5755,161158
IFIT5,4102,2382,485,3890,5206,6220,726,7128,8738,7507,1570,14857,10095,9018,3295,14413
SLC16A12,2,8,0,0,0,5,0,0,2,0,1,4,2,2,0,6
SLC16A12-AS1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2
PANK1,75,27,64,37,88,74,68,48,84,82,48,35,149,141,126,69
PANK1-AS1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
KIF20B,1241,553,531,461,2023,1774,480,878,2082,1565,483,1322,2412,2204,1215,1536
LINC00865,20,71,32,28,10,74,38,91,8,92,20,68,60,131,87,158
